Altium Designer Pick and Place Locations
C:\repo\Allochis\Allochis_isobus_adapter_board_v1.0\.\PRODUCTION\P&P\Allochis_isobus_adapter_board_v1.0_P&P_TOP.csv

========================================================================================================================
File Design Information:

Date:       04/08/23
Time:       12:20
Revision:   3a732e7853ea47ea1d946136564edfda2bc6ac47
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"R29","R0603","41.7406","34.3519","360"
"R1","R0603","25.1100","50.2631","360"
"R15","R0603","57.9955","32.2060","360"
"R18","R0603","57.9955","26.0969","360"
"R23","R0603","41.7410","46.5599","360"
"R24","R0603","41.7410","44.5239","360"
"R25","R0603","41.7410","42.4879","360"
"R26","R0603","41.7410","40.4519","360"
"R12","R0603","57.9955","38.3139","360"
"R13","R0603","57.9955","36.2779","360"
"R14","R0603","57.9955","34.2419","360"
"R9","R0603","57.9955","44.4219","360"
"R10","R0603","57.9955","42.3859","360"
"R11","R0603","57.9955","40.3499","360"
"R7","R0603","57.9955","49.7979","360"
"R8","R0603","57.9955","47.7619","360"
"R16","R0603","57.9955","30.1696","360"
"R17","R0603","57.9955","28.1332","360"
"R27","R0603","41.7406","38.4159","360"
"R28","R0603","41.7406","36.3839","360"
"R30","R0603","41.7406","32.3199","360"
"R31","R0603","41.7406","30.2879","360"
"R32","R0603","41.7406","28.2559","360"
"R33","R0603","41.7406","26.2239","360"
"R34","R0603","41.7406","24.1919","360"
"R19","R0603","41.7406","54.7039","360"
"R20","R0603","41.7406","52.6679","360"
"R21","R0603","41.7406","50.6319","360"
"R22","R0603","41.7406","48.5959","360"
"S8","9774030243","18.1730","46.9050","90"
"S7","9774030243","81.8130","46.9050","90"
"R4","R0603","67.1230","44.4221","180"
"R3","R0603","67.1230","39.3321","180"
"R2","R0603","22.3189","39.3410","90"
"J3","TE_5177985-2","50.0000","38.0001","90"
"J1","TE_1473005-1_+_SOM_Toradex_iMX","50.0140","17.8550","180"
"D2","SOT143B_NXP","23.2740","34.9372","360"
"D1","SOT143B_NXP","25.1100","47.1120","360"
"C2","C1206","23.8228","22.7620","90"
"C1","C0603","21.6729","21.9820","90"
"C14","C1206","78.4528","22.7620","90"
"C13","C0603","76.2939","21.9820","90"
"C12","C1206","74.1635","22.7620","90"
"C11","C0603","72.0640","21.9820","90"
"C10","C1206","66.5718","22.7620","90"
"C9","C0603","64.4829","21.9820","90"
"C8","C1206","57.0638","22.7620","90"
"C7","C0603","54.7040","21.9820","90"
"C6","C1206","46.1948","22.7620","90"
"C5","C0603","44.0359","21.9820","90"
"C4","C1206","35.0258","22.7620","90"
"C3","C0603","32.8599","21.9820","90"
"R29","R0603","41.7406","94.8519","360"
"R1","R0603","25.1100","110.7631","360"
"R15","R0603","57.9955","92.7060","360"
"R18","R0603","57.9955","86.5969","360"
"R23","R0603","41.7410","107.0599","360"
"R24","R0603","41.7410","105.0239","360"
"R25","R0603","41.7410","102.9879","360"
"R26","R0603","41.7410","100.9519","360"
"R12","R0603","57.9955","98.8139","360"
"R13","R0603","57.9955","96.7779","360"
"R14","R0603","57.9955","94.7419","360"
"R9","R0603","57.9955","104.9219","360"
"R10","R0603","57.9955","102.8859","360"
"R11","R0603","57.9955","100.8499","360"
"R7","R0603","57.9955","110.2979","360"
"R8","R0603","57.9955","108.2619","360"
"R16","R0603","57.9955","90.6696","360"
"R17","R0603","57.9955","88.6332","360"
"R27","R0603","41.7406","98.9159","360"
"R28","R0603","41.7406","96.8839","360"
"R30","R0603","41.7406","92.8199","360"
"R31","R0603","41.7406","90.7879","360"
"R32","R0603","41.7406","88.7559","360"
"R33","R0603","41.7406","86.7239","360"
"R34","R0603","41.7406","84.6919","360"
"R19","R0603","41.7406","115.2039","360"
"R20","R0603","41.7406","113.1679","360"
"R21","R0603","41.7406","111.1319","360"
"R22","R0603","41.7406","109.0959","360"
"S8","9774030243","18.1730","107.4050","90"
"S7","9774030243","81.8130","107.4050","90"
"R4","R0603","67.1230","104.9221","180"
"R3","R0603","67.1230","99.8321","180"
"R2","R0603","22.3189","99.8410","90"
"J3","TE_5177985-2","50.0000","98.5001","90"
"J1","TE_1473005-1_+_SOM_Toradex_iMX","50.0140","78.3550","180"
"D2","SOT143B_NXP","23.2740","95.4372","360"
"D1","SOT143B_NXP","25.1100","107.6120","360"
"C2","C1206","23.8228","83.2620","90"
"C1","C0603","21.6729","82.4820","90"
"C14","C1206","78.4528","83.2620","90"
"C13","C0603","76.2939","82.4820","90"
"C12","C1206","74.1635","83.2620","90"
"C11","C0603","72.0640","82.4820","90"
"C10","C1206","66.5718","83.2620","90"
"C9","C0603","64.4829","82.4820","90"
"C8","C1206","57.0638","83.2620","90"
"C7","C0603","54.7040","82.4820","90"
"C6","C1206","46.1948","83.2620","90"
"C5","C0603","44.0359","82.4820","90"
"C4","C1206","35.0258","83.2620","90"
"C3","C0603","32.8599","82.4820","90"
"R29","R0603","41.7406","155.3519","360"
"R1","R0603","25.1100","171.2631","360"
"R15","R0603","57.9955","153.2060","360"
"R18","R0603","57.9955","147.0969","360"
"R23","R0603","41.7410","167.5599","360"
"R24","R0603","41.7410","165.5239","360"
"R25","R0603","41.7410","163.4879","360"
"R26","R0603","41.7410","161.4519","360"
"R12","R0603","57.9955","159.3139","360"
"R13","R0603","57.9955","157.2779","360"
"R14","R0603","57.9955","155.2419","360"
"R9","R0603","57.9955","165.4219","360"
"R10","R0603","57.9955","163.3859","360"
"R11","R0603","57.9955","161.3499","360"
"R7","R0603","57.9955","170.7979","360"
"R8","R0603","57.9955","168.7619","360"
"R16","R0603","57.9955","151.1696","360"
"R17","R0603","57.9955","149.1332","360"
"R27","R0603","41.7406","159.4159","360"
"R28","R0603","41.7406","157.3839","360"
"R30","R0603","41.7406","153.3199","360"
"R31","R0603","41.7406","151.2879","360"
"R32","R0603","41.7406","149.2559","360"
"R33","R0603","41.7406","147.2239","360"
"R34","R0603","41.7406","145.1919","360"
"R19","R0603","41.7406","175.7039","360"
"R20","R0603","41.7406","173.6679","360"
"R21","R0603","41.7406","171.6319","360"
"R22","R0603","41.7406","169.5959","360"
"S8","9774030243","18.1730","167.9050","90"
"S7","9774030243","81.8130","167.9050","90"
"R4","R0603","67.1230","165.4221","180"
"R3","R0603","67.1230","160.3321","180"
"R2","R0603","22.3189","160.3410","90"
"J3","TE_5177985-2","50.0000","159.0001","90"
"J1","TE_1473005-1_+_SOM_Toradex_iMX","50.0140","138.8550","180"
"D2","SOT143B_NXP","23.2740","155.9372","360"
"D1","SOT143B_NXP","25.1100","168.1120","360"
"C2","C1206","23.8228","143.7620","90"
"C1","C0603","21.6729","142.9820","90"
"C14","C1206","78.4528","143.7620","90"
"C13","C0603","76.2939","142.9820","90"
"C12","C1206","74.1635","143.7620","90"
"C11","C0603","72.0640","142.9820","90"
"C10","C1206","66.5718","143.7620","90"
"C9","C0603","64.4829","142.9820","90"
"C8","C1206","57.0638","143.7620","90"
"C7","C0603","54.7040","142.9820","90"
"C6","C1206","46.1948","143.7620","90"
"C5","C0603","44.0359","142.9820","90"
"C4","C1206","35.0258","143.7620","90"
"C3","C0603","32.8599","142.9820","90"
"R29","R0603","122.2406","34.3519","360"
"R1","R0603","105.6100","50.2631","360"
"R15","R0603","138.4955","32.2060","360"
"R18","R0603","138.4955","26.0969","360"
"R23","R0603","122.2410","46.5599","360"
"R24","R0603","122.2410","44.5239","360"
"R25","R0603","122.2410","42.4879","360"
"R26","R0603","122.2410","40.4519","360"
"R12","R0603","138.4955","38.3139","360"
"R13","R0603","138.4955","36.2779","360"
"R14","R0603","138.4955","34.2419","360"
"R9","R0603","138.4955","44.4219","360"
"R10","R0603","138.4955","42.3859","360"
"R11","R0603","138.4955","40.3499","360"
"R7","R0603","138.4955","49.7979","360"
"R8","R0603","138.4955","47.7619","360"
"R16","R0603","138.4955","30.1696","360"
"R17","R0603","138.4955","28.1332","360"
"R27","R0603","122.2406","38.4159","360"
"R28","R0603","122.2406","36.3839","360"
"R30","R0603","122.2406","32.3199","360"
"R31","R0603","122.2406","30.2879","360"
"R32","R0603","122.2406","28.2559","360"
"R33","R0603","122.2406","26.2239","360"
"R34","R0603","122.2406","24.1919","360"
"R19","R0603","122.2406","54.7039","360"
"R20","R0603","122.2406","52.6679","360"
"R21","R0603","122.2406","50.6319","360"
"R22","R0603","122.2406","48.5959","360"
"S8","9774030243","98.6730","46.9050","90"
"S7","9774030243","162.3130","46.9050","90"
"R4","R0603","147.6230","44.4221","180"
"R3","R0603","147.6230","39.3321","180"
"R2","R0603","102.8189","39.3410","90"
"J3","TE_5177985-2","130.5000","38.0001","90"
"J1","TE_1473005-1_+_SOM_Toradex_iMX","130.5140","17.8550","180"
"D2","SOT143B_NXP","103.7740","34.9372","360"
"D1","SOT143B_NXP","105.6100","47.1120","360"
"C2","C1206","104.3228","22.7620","90"
"C1","C0603","102.1729","21.9820","90"
"C14","C1206","158.9528","22.7620","90"
"C13","C0603","156.7939","21.9820","90"
"C12","C1206","154.6635","22.7620","90"
"C11","C0603","152.5640","21.9820","90"
"C10","C1206","147.0718","22.7620","90"
"C9","C0603","144.9829","21.9820","90"
"C8","C1206","137.5638","22.7620","90"
"C7","C0603","135.2040","21.9820","90"
"C6","C1206","126.6948","22.7620","90"
"C5","C0603","124.5359","21.9820","90"
"C4","C1206","115.5258","22.7620","90"
"C3","C0603","113.3599","21.9820","90"
"R29","R0603","122.2406","94.8519","360"
"R1","R0603","105.6100","110.7631","360"
"R15","R0603","138.4955","92.7060","360"
"R18","R0603","138.4955","86.5969","360"
"R23","R0603","122.2410","107.0599","360"
"R24","R0603","122.2410","105.0239","360"
"R25","R0603","122.2410","102.9879","360"
"R26","R0603","122.2410","100.9519","360"
"R12","R0603","138.4955","98.8139","360"
"R13","R0603","138.4955","96.7779","360"
"R14","R0603","138.4955","94.7419","360"
"R9","R0603","138.4955","104.9219","360"
"R10","R0603","138.4955","102.8859","360"
"R11","R0603","138.4955","100.8499","360"
"R7","R0603","138.4955","110.2979","360"
"R8","R0603","138.4955","108.2619","360"
"R16","R0603","138.4955","90.6696","360"
"R17","R0603","138.4955","88.6332","360"
"R27","R0603","122.2406","98.9159","360"
"R28","R0603","122.2406","96.8839","360"
"R30","R0603","122.2406","92.8199","360"
"R31","R0603","122.2406","90.7879","360"
"R32","R0603","122.2406","88.7559","360"
"R33","R0603","122.2406","86.7239","360"
"R34","R0603","122.2406","84.6919","360"
"R19","R0603","122.2406","115.2039","360"
"R20","R0603","122.2406","113.1679","360"
"R21","R0603","122.2406","111.1319","360"
"R22","R0603","122.2406","109.0959","360"
"S8","9774030243","98.6730","107.4050","90"
"S7","9774030243","162.3130","107.4050","90"
"R4","R0603","147.6230","104.9221","180"
"R3","R0603","147.6230","99.8321","180"
"R2","R0603","102.8189","99.8410","90"
"J3","TE_5177985-2","130.5000","98.5001","90"
"J1","TE_1473005-1_+_SOM_Toradex_iMX","130.5140","78.3550","180"
"D2","SOT143B_NXP","103.7740","95.4372","360"
"D1","SOT143B_NXP","105.6100","107.6120","360"
"C2","C1206","104.3228","83.2620","90"
"C1","C0603","102.1729","82.4820","90"
"C14","C1206","158.9528","83.2620","90"
"C13","C0603","156.7939","82.4820","90"
"C12","C1206","154.6635","83.2620","90"
"C11","C0603","152.5640","82.4820","90"
"C10","C1206","147.0718","83.2620","90"
"C9","C0603","144.9829","82.4820","90"
"C8","C1206","137.5638","83.2620","90"
"C7","C0603","135.2040","82.4820","90"
"C6","C1206","126.6948","83.2620","90"
"C5","C0603","124.5359","82.4820","90"
"C4","C1206","115.5258","83.2620","90"
"C3","C0603","113.3599","82.4820","90"
"R29","R0603","122.2406","155.3519","360"
"R1","R0603","105.6100","171.2631","360"
"R15","R0603","138.4955","153.2060","360"
"R18","R0603","138.4955","147.0969","360"
"R23","R0603","122.2410","167.5599","360"
"R24","R0603","122.2410","165.5239","360"
"R25","R0603","122.2410","163.4879","360"
"R26","R0603","122.2410","161.4519","360"
"R12","R0603","138.4955","159.3139","360"
"R13","R0603","138.4955","157.2779","360"
"R14","R0603","138.4955","155.2419","360"
"R9","R0603","138.4955","165.4219","360"
"R10","R0603","138.4955","163.3859","360"
"R11","R0603","138.4955","161.3499","360"
"R7","R0603","138.4955","170.7979","360"
"R8","R0603","138.4955","168.7619","360"
"R16","R0603","138.4955","151.1696","360"
"R17","R0603","138.4955","149.1332","360"
"R27","R0603","122.2406","159.4159","360"
"R28","R0603","122.2406","157.3839","360"
"R30","R0603","122.2406","153.3199","360"
"R31","R0603","122.2406","151.2879","360"
"R32","R0603","122.2406","149.2559","360"
"R33","R0603","122.2406","147.2239","360"
"R34","R0603","122.2406","145.1919","360"
"R19","R0603","122.2406","175.7039","360"
"R20","R0603","122.2406","173.6679","360"
"R21","R0603","122.2406","171.6319","360"
"R22","R0603","122.2406","169.5959","360"
"S8","9774030243","98.6730","167.9050","90"
"S7","9774030243","162.3130","167.9050","90"
"R4","R0603","147.6230","165.4221","180"
"R3","R0603","147.6230","160.3321","180"
"R2","R0603","102.8189","160.3410","90"
"J3","TE_5177985-2","130.5000","159.0001","90"
"J1","TE_1473005-1_+_SOM_Toradex_iMX","130.5140","138.8550","180"
"D2","SOT143B_NXP","103.7740","155.9372","360"
"D1","SOT143B_NXP","105.6100","168.1120","360"
"C2","C1206","104.3228","143.7620","90"
"C1","C0603","102.1729","142.9820","90"
"C14","C1206","158.9528","143.7620","90"
"C13","C0603","156.7939","142.9820","90"
"C12","C1206","154.6635","143.7620","90"
"C11","C0603","152.5640","142.9820","90"
"C10","C1206","147.0718","143.7620","90"
"C9","C0603","144.9829","142.9820","90"
"C8","C1206","137.5638","143.7620","90"
"C7","C0603","135.2040","142.9820","90"
"C6","C1206","126.6948","143.7620","90"
"C5","C0603","124.5359","142.9820","90"
"C4","C1206","115.5258","143.7620","90"
"C3","C0603","113.3599","142.9820","90"
